CustomerName,CustomerRegion,CustomerCountry,EmployeeName,EmployeeCity,EmployeeCountry,TerritoryDescription,RegionDescription,ManagerName,OrderDate,ShipperName,CategoryName,ProductName,SupplierName,SupplierRegion,SupplierCountry,UnitPrice,Quantity,Discount
Alfreds Futterkiste,,Germany,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-10-01,Speedy Express,Beverages,Lakkalikööri,Karkki Oy,,Finland,18.00,15,0.00
Alfreds Futterkiste,,Germany,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-10-01,Speedy Express,Condiments,Aniseed Syrup,Exotic Liquids,,UK,10.00,6,0.00
Alfreds Futterkiste,,Germany,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-10-01,United Package,Condiments,Vegie-spread,"Pavlova, Ltd.",Victoria,Australia,43.90,20,0.00
Alfreds Futterkiste,,Germany,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2020-08-01,Speedy Express,Beverages,Chartreuse verte,Aux joyeux ecclésiastiques,,France,18.00,21,0.25
Alfreds Futterkiste,,Germany,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2020-08-01,Speedy Express,Produce,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,,Germany,45.60,15,0.25
Alfreds Futterkiste,,Germany,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2020-08-01,Speedy Express,Seafood,Spegesild,Lyngbysild,,Denmark,12.00,2,0.25
Ana Trujillo Emparedados y helados,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-08-01,Speedy Express,Dairy Products,Camembert Pierrot,Gai pâturage,,France,34.00,10,0.00
Ana Trujillo Emparedados y helados,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-08-01,Speedy Express,Grains/Cereals,Singaporean Hokkien Fried Mee,Leka Trading,,Singapore,14.00,5,0.00
Ana Trujillo Emparedados y helados,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-08-01,Speedy Express,Produce,Tofu,Mayumi's,,Japan,23.25,3,0.00
Ana Trujillo Emparedados y helados,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-11-01,Federal Shipping,Dairy Products,Mascarpone Fabioli,Formaggi Fortini s.r.l.,,Italy,32.00,10,0.00
Ana Trujillo Emparedados y helados,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2019-09-01,Federal Shipping,Beverages,Outback Lager,"Pavlova, Ltd.",Victoria,Australia,12.00,5,0.00
Ana Trujillo Emparedados y helados,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2019-09-01,Federal Shipping,Dairy Products,Gudbrandsdalsost,Norske Meierier,,Norway,28.80,1,0.00
Antonio Moreno Taquería,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2019-11-01,United Package,Dairy Products,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',Asturias,Spain,16.80,24,0.00
Antonio Moreno Taquería,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-09-01,United Package,Beverages,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,,Germany,7.75,30,0.00
Antonio Moreno Taquería,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-09-01,United Package,Condiments,Louisiana Hot Spiced Okra,New Orleans Cajun Delights,LA,USA,17.00,4,0.00
Antonio Moreno Taquería,,Mexico,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-09-01,United Package,Dairy Products,Geitost,Norske Meierier,,Norway,2.50,30,0.00
Antonio Moreno Taquería,,Mexico,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-05-01,Speedy Express,Dairy Products,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',Asturias,Spain,21.00,50,0.10
Antonio Moreno Taquería,,Mexico,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-05-01,Speedy Express,Dairy Products,Raclette Courdavault,Gai pâturage,,France,55.00,15,0.10
Antonio Moreno Taquería,,Mexico,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-05-01,Speedy Express,Grains/Cereals,Ravioli Angelo,Pasta Buttini s.r.l.,,Italy,19.50,5,0.10
Antonio Moreno Taquería,,Mexico,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-05-01,Speedy Express,Seafood,Boston Crab Meat,New England Seafood Cannery,MA,USA,18.40,10,0.10
Antonio Moreno Taquería,,Mexico,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-09-01,Federal Shipping,Confections,Gumbär Gummibärchen,Heli Süßwaren GmbH & Co. KG,,Germany,31.23,30,0.15
Antonio Moreno Taquería,,Mexico,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-09-01,Federal Shipping,Dairy Products,Geitost,Norske Meierier,,Norway,2.50,8,0.15
Antonio Moreno Taquería,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2020-04-01,Speedy Express,Beverages,Ipoh Coffee,Leka Trading,,Singapore,46.00,15,0.15
Antonio Moreno Taquería,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2020-04-01,Speedy Express,Confections,Chocolade,Zaanse Snoepfabriek,,Netherlands,12.75,15,0.15
Antonio Moreno Taquería,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2020-06-01,Federal Shipping,Beverages,Sasquatch Ale,Bigfoot Breweries,OR,USA,14.00,40,0.00
Antonio Moreno Taquería,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2020-06-01,Federal Shipping,Meat/Poultry,Alice Mutton,"Pavlova, Ltd.",Victoria,Australia,39.00,18,0.00
Antonio Moreno Taquería,,Mexico,Robert King,London,UK,"Hoffman Estates                                   ","Western                                           ",Steven Buchanan,2020-06-01,Federal Shipping,Meat/Poultry,Perth Pasties,"G'day, Mate",NSW,Australia,32.80,25,0.00
Around the Horn,,UK,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,Federal Shipping,Grains/Cereals,Filo Mix,"G'day, Mate",NSW,Australia,7.00,8,0.00
Around the Horn,,UK,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,Federal Shipping,Seafood,Jack's New England Clam Chowder,New England Seafood Cannery,MA,USA,9.65,14,0.00
Around the Horn,,UK,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,United Package,Dairy Products,Camembert Pierrot,Gai pâturage,,France,34.00,15,0.00
Around the Horn,,UK,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,United Package,Dairy Products,Flotemysost,Norske Meierier,,Norway,21.50,12,0.00
Around the Horn,,UK,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,United Package,Dairy Products,Gorgonzola Telino,Formaggi Fortini s.r.l.,,Italy,12.50,50,0.00
Around the Horn,,UK,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,United Package,Grains/Cereals,Gustaf's Knäckebröd,PB Knäckebröd AB,,Sweden,21.00,4,0.00
Around the Horn,,UK,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-12-01,Federal Shipping,Confections,Valkoinen suklaa,Karkki Oy,,Finland,13.00,15,0.00
Around the Horn,,UK,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-12-01,Federal Shipping,Grains/Cereals,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,,Italy,30.40,20,0.00
Around the Horn,,UK,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-12-01,Federal Shipping,Seafood,Konbu,Mayumi's,,Japan,4.80,20,0.00
Around the Horn,,UK,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-10-01,Federal Shipping,Beverages,Outback Lager,"Pavlova, Ltd.",Victoria,Australia,15.00,28,0.15
Around the Horn,,UK,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-10-01,Federal Shipping,Grains/Cereals,Ravioli Angelo,Pasta Buttini s.r.l.,,Italy,19.50,40,0.00
Around the Horn,,UK,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-10-01,Federal Shipping,Meat/Poultry,Pâté chinois,Ma Maison,Québec,Canada,24.00,21,0.00
Around the Horn,,UK,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-11-01,Federal Shipping,Beverages,Chang,Exotic Liquids,,UK,19.00,15,0.20
